Company,Actual,Predicted,Error
KOTAKBANK,676.2254090353063,650.1662406081414,26.059168427164877
KOTAKBANK,674.2836208420449,660.2914280058212,13.992192836223694
KOTAKBANK,669.952037040523,660.3216108039255,9.630426236597486
KOTAKBANK,679.2127733186403,658.6873151504551,20.525458168185196
KOTAKBANK,679.4118783313452,661.4185624691095,17.993315862235704
KOTAKBANK,681.2042743558382,664.2088226535252,16.99545170231295
KOTAKBANK,674.7317409845814,666.5868382341409,8.144902750440451
KOTAKBANK,682.299619653616,663.1343319501425,19.165287703473496
KOTAKBANK,695.792232226539,667.0737930132673,28.718439213271722
KOTAKBANK,689.4193781801141,675.9966003165305,13.422777863583633
KOTAKBANK,685.6851939623598,673.6104119894626,12.074781972897199
KOTAKBANK,677.5697694629157,672.2056296018759,5.364139861039803
KOTAKBANK,671.9435380777209,665.7999718421052,6.143566235615708
KOTAKBANK,661.8365561773103,661.9804246967524,0.1438685194420941
KOTAKBANK,668.7571533273349,653.4977902446481,15.259363082686832
KOTAKBANK,671.1470334812484,656.6424939881281,14.504539493120319
KOTAKBANK,665.7697890440008,658.2358977274534,7.533891316547397
KOTAKBANK,675.0305253221181,656.1367700740461,18.89375524807201
KOTAKBANK,664.8737178502338,660.6137442167633,4.2599736334705085
KOTAKBANK,671.2466564423116,654.6351265500593,16.611529892252292
KOTAKBANK,683.693608379509,658.7569525866043,24.93665579290473
KOTAKBANK,691.5602995679646,664.4155931387645,27.14470642920014
KOTAKBANK,700.2234389891241,671.8097868547488,28.413652134375297
KOTAKBANK,699.4766190547039,679.1147285430989,20.361890511604997
KOTAKBANK,702.9120471168058,680.190938341425,22.7211087753808
KOTAKBANK,695.2446300323609,683.0281777269984,12.216452305362509
KOTAKBANK,699.5761856519985,678.2417946763567,21.33439097564178
KOTAKBANK,698.381273756926,681.8195976180318,16.5616761388942
KOTAKBANK,705.0031147512982,680.8557771743649,24.147337576933296
KOTAKBANK,703.2106905449209,686.8857985980644,16.324891946856496
KOTAKBANK,706.1482574386655,686.2559616654471,19.892295773218393
KOTAKBANK,717.0020874553807,688.6826191783953,28.31946827698539
KOTAKBANK,724.1715588258153,695.650505530305,28.521053295510228
KOTAKBANK,702.3145629873852,699.9118037123385,2.4027592750467193
KOTAKBANK,704.7541559852352,688.3584993268569,16.395656658378357
KOTAKBANK,700.6217053783025,689.3151052081384,11.306600170164074
KOTAKBANK,688.7222992715147,684.6374760490789,4.084823222435716
KOTAKBANK,692.1577273336165,677.782035415597,14.375691918019584
KOTAKBANK,697.8833562248001,679.2092787649849,18.67407745981518
KOTAKBANK,689.0707964529879,680.4338661842439,8.636930268743981
KOTAKBANK,686.2329088840752,675.4793781936469,10.753530690428306
KOTAKBANK,681.2042743558382,673.3750087097565,7.829265646081694
KOTAKBANK,672.7402399473835,669.2963009562177,3.443938991165851
KOTAKBANK,664.5749616945814,663.2226821574786,1.3522795371027314
KOTAKBANK,665.869496550717,657.0648277065138,8.804668844203206
KOTAKBANK,659.8451678676497,656.4704154024839,3.374752465165784
KOTAKBANK,658.0526872975038,655.2219579272078,2.8307293702960123
KOTAKBANK,680.1586982657655,650.6410208132424,29.517677452523003
KOTAKBANK,678.1173716570938,664.4631077957242,13.6542638613696
KOTAKBANK,671.744433065016,663.753544312372,7.9908887526439685
KOTAKBANK,660.4425110876487,661.2095937968934,0.7670827092447325
KOTAKBANK,680.7063004599436,652.4099976918674,28.296302768076202
KOTAKBANK,684.7890100410555,663.428043548502,21.360966492553416
KOTAKBANK,674.2836208420449,666.5345890206158,7.749031821429071
KOTAKBANK,662.7327964623832,662.9020286777113,0.16923221532806565
KOTAKBANK,673.3875214663935,654.0399815170372,19.34753994935636
KOTAKBANK,689.0707964529879,659.085891540361,29.984904912626916
KOTAKBANK,670.2507931961754,670.1227065319513,0.12808666422415627
KOTAKBANK,674.1840824266346,661.2398611406506,12.944221285983986
KOTAKBANK,664.5252206687605,661.7120204305102,2.8132002382503742
KOTAKBANK,626.2877863894837,653.1135020700913,26.825715680607573
KOTAKBANK,619.3671328756905,631.0966304019266,11.729497526236173
KOTAKBANK,622.6033431975502,620.5662720534106,2.037071144139645
KOTAKBANK,617.6245624226713,618.808596110397,1.1840336877257869
KOTAKBANK,622.6531405871397,616.7559122023454,5.897228384794289
KOTAKBANK,632.8598018123821,619.3714165221068,13.488385290275346
